grain_area_mm2
4.337949578139230732e-03
1.474902856567338397e-02
1.561661848130123029e-02
1.214625881878984501e-02
1.821938822818476925e-02
1.344764369223161449e-02
1.041107898753415237e-02
9.977284029720230943e-03
1.648420839692907661e-02
1.561661848130123029e-02
8.675899156278461463e-03
