grain_area_mm2
5.205539493767076184e-03
1.171246386097592185e-02
7.374514282836691983e-03
1.084487394534807553e-02
1.691800335474299977e-02
1.474902856567338397e-02
1.258005377660376817e-02
1.735179831255692293e-02
1.344764369223161449e-02
